iter	RMSE
784	47.82775813
785	47.82751494
786	47.82660023
787	47.82485003
788	47.82287209
789	47.82169014
790	47.82002611
791	47.81967048
792	47.81737633
793	47.81504121
794	47.81446651
795	47.81184606
796	47.81042115
797	47.81007801
798	47.80871625
799	47.80864298
800	47.80499952
801	47.80324686
802	47.80215985
803	47.80132414
804	47.80083374
805	47.80035066
806	47.80025154
807	47.79817667
808	47.79800964
809	47.79731959
810	47.79616358
811	47.79593447
812	47.79461677
813	47.79301592
814	47.79180564
815	47.79138473
816	47.79116999
817	47.79047706
818	47.79015529
819	47.78754023
820	47.78654025
821	47.78310365
822	47.7829609
823	47.78288912
824	47.78227561
825	47.78128593
826	47.7794322
827	47.77734037
828	47.77615748
829	47.77439603
830	47.77252234
831	47.77099091
832	47.77011227
833	47.7696238
834	47.76954104
835	47.76872626
836	47.76756234
837	47.76709404
838	47.76617635
839	47.76584852
840	47.7654709
841	47.76428254
842	47.76251641
843	47.76058883
844	47.76009703
845	47.75820935
846	47.75688415
847	47.75520391
848	47.75430048
849	47.75390584
850	47.75364962
851	47.75329302
852	47.75306937
853	47.75049207
854	47.74954733
855	47.74929769
856	47.74795101
857	47.7468178
858	47.7441268
859	47.74312635
860	47.74207407
861	47.73968792
862	47.73918859
863	47.73839437
864	47.73785768
865	47.7367152
866	47.73451518
867	47.73332295
868	47.73178446
869	47.73172152
870	47.73114182
871	47.73057081
872	47.72924777
873	47.72838697
874	47.72741735
875	47.72700462
876	47.72692093
877	47.72467392
878	47.72414739
879	47.72383707
880	47.72354881
881	47.72233096
882	47.72155625
883	47.72080485
884	47.71989661
885	47.71722015
886	47.71610639
887	47.71490911
888	47.71254582
889	47.71216651
890	47.71129039
891	47.710854
892	47.7105329
893	47.71013225
894	47.70982624
895	47.70900837
896	47.70840428
897	47.70662693
898	47.70534489
899	47.70348833
900	47.70271545
901	47.70254373
902	47.7007057
903	47.69972961
904	47.69865732
905	47.69645692
906	47.69271422
907	47.69167577
908	47.69066342
909	47.68912859
910	47.68805657
911	47.68529577
912	47.68326906
913	47.68250819
914	47.68223327
915	47.67939841
916	47.67890067
917	47.67859637
918	47.67774077
919	47.67677974
920	47.67652009
921	47.67433945
922	47.67382074
923	47.6732002
924	47.67197406
925	47.6706259
926	47.66828292
927	47.6668057
928	47.66568615
929	47.66490093
930	47.6633011
931	47.6604748
932	47.6601037
933	47.65906977
934	47.65751186
935	47.65664291
936	47.65468597
937	47.65360897
938	47.65187284
939	47.65157362
940	47.65001925
941	47.6487155
942	47.6472462
943	47.64706013
944	47.6460607
945	47.64457121
946	47.64403921
947	47.64184319
948	47.64098738
949	47.6396233
950	47.63780759
951	47.63676246
952	47.63402727
953	47.63298673
954	47.63195828
955	47.63190566
956	47.63164612
957	47.63151449
958	47.63071248
959	47.63050977
960	47.62988985
961	47.62857636
962	47.62818846
963	47.62642937
964	47.62578776
965	47.62516642
966	47.62402861
967	47.62317543
968	47.6229514
969	47.62188367
970	47.62095791
971	47.62020869
972	47.61987399
973	47.61962168
974	47.61805424
975	47.61726729
976	47.61684904
977	47.61590076
978	47.61445977
979	47.6118307
980	47.61074595
981	47.61054368
982	47.60983391
983	47.60934873
984	47.6076348
985	47.60676436
986	47.60565421
987	47.60547896
988	47.60375069
989	47.60368808
990	47.60154784
991	47.60087911
992	47.59926786
993	47.59836382
994	47.59686406
995	47.59488041
996	47.59473945
997	47.59375696
998	47.59305512
999	47.59213553
